Question,Answer,Explanation
"Vitamin B12 defciency anemia B. Macrocytic, hypochromic red cells 2. Talassemia major C. Large number of early, inter- mediate and late erythroblasts 3. Aplastic anemia D. Low reticulocyte count 4. Iron-defciency anemia Code",Ans. (d) Haemolysis from G6PD enzyme deficiency,(Ref: Robbins 9th/pg 643) G6PD deficiency causes anemia and not pancytopenia 142.
Which of the following conditions does not cause pancytopenia,Ans. (b) Thalassemia major,(Ref: Robbins 9th/pg 631) Though all the options mentioned can cause Iron deficiency  resulting in microcytic hypochromic RBCs. Thalassemia will  result in raised ferritin (due to increased GIT absorption &  multiple transfusions) and not low ferritin. 143.
Which of the following is least likely,Ans. (b) DMT-1,"(Ref: Wintrobe 13ed /pg 811; Robbin?s 9th/649; Complete review  of Pathology 1st/314)   About DMT-1:  ? Mucosal uptake of non-heme iron begins at brush  border of mucosal cell, mediated by divalent metal  ion transporter 1 (DMT1, also known as Nramp2,  SLC11A2).  ? Levels of DMT1 are markedly increased in iron-deficient  animals.   ? In addition to iron, DMT1 has been shown to transport  a variety of divalent metal ions, including Mn2+, Co2+,  Cu2+, Zn2+, Cd2+, and Pb2+. (Hence non -specific)  ? It acts as a proton symporter; protons accompany metal  ions into the cell.  Hepcidin: principal iron regulatory hormone; and is  negatively regulates ferroportin on basolateral surface  of enterocyteQ 144."
Iron metabolism and regulation are important for RBC precursor cell. Which of the following helps in regulation of iron metabolism but is not specific for iron,Ans. (a) Hepsidin,(Ref: Robbins 9th/pg 649; 8th/pg 659) 145.
Transfer of Iron from enterocyte to plasma is inhibited by,Ans. (a) S.ferritin,(Ref: Robbins 9th/pg 649; 8th/pg 659) 146.
Iron stores are best indicated by,Ans. (a) Hepsidin,(Ref: Robbins 9th/pg 649; 8th/pg 659) Ferroportin which regulates the Iron release from tissue  store house is regulated by hepsidin hormone released by  liver. 147.
Release ferroportin store is controlled by,Ans. (d) Ferrocyanide to ferricferrocyanide,(Ref: T. Singh 3rd ed/pg 21)   Prussian Blue Stain: Purpose: To demonstrate ferric iron in tissue sections.  Principle: The reaction occurs with the treatment of  sections in acid solutions of ferrocyanides. Any ferric ion  (+3) in the tissue combines with the ferrocyanide and  results in the formation of a bright blue pigment called  ?Prussian blue? or ferric ferrocyanide. 148.
Which of the following correctly describes principle of Prussian blue stain,Ans. (d) Diagnosed by serum ferritin,(Ref: Robbins 9th/pg 649; 8th/pg 659) Hereditary hemochromatosis (Autosomal recessive)is  caused due to mutations of HFE gene on chr6p21.3.  Chapter 10 ? Red Blood Cells and its Disorders 309 Answers with Explanations 149.
True about Hereditary Hemochromatosis a/e,Ans. (b) Siderocyte,(Ref: Robbins 9th/pg 649) Pappenheimer bodies: Siderotic mitochondria of the  developing cell may be retained in some circulating  erythrocytes (Pathognomonic siderocytes) 150.
Pappenheimer body is seen in,Ans. (a) 2150 mg,(Ref: Wintrobes 12ed/814) Treatment of anemia due to iron deficiency. The total dose is calculated from the amount of iron  needed to restore the hemoglobin deficit plus an additional  amount to replenish stores. Total iron defcit [mg] = body weight [kg] ? (target  Hb (15)-actual Hb) [g/dl] ? 2.4 + Iron for iron stores  (depot iron) [mg] In this question: 50 ? (15-5) ? 2.4 + 1000 = 2200 mg Nearest correct option is A i.e 2150 mg 151.
"Calculate iron deficit for a 50 kg person, with Hb-5g/dL. Add 1000 mg for stores.",Ans. (b) Folate supplement,(Ref: Robbins 9th/pg 645) 152.
A 50 year old male has Hb 9.2g/dL and MCV112fL. Next step,Ans. (d) Start folate supplementation,(Ref: Robbins 9th/pg 645) 153.
"A 40 year old female presents with signs of heart failure. Hb-6 g/dL, MCV-112. Next step",Ans. (d) Folate deficiency anemia,(Ref: R 9th/pg 645) 154.
MCV is increased in the following anemia a. Iron deficiency anemia,Ans. (d) MCHC is increased,(Ref: Robbins 9th/pg 645) MCHC: Mean Corpuscular Hemoglobin Concentration  ? Low in iron deficiency anemia and thalassemia.  ? Increased in spherocytosis  155.
Find the false statement regarding megaloblastic anemia,Ans. (c) Hook worm infection,(Ref: Robbins 9th/pg 649) The findings in the question are suggestive are Iron  deficiency anemia. Hookworm infection can cause this  among the given options. 156.
20-year-old female present with features of anemia. Blood tests,Ans. (c) Serum ferritin,"(Ref: Robbins 9th/pg 649-652) Among the options provided, most sensitive marker in  iron deficiency anemia is Serum ferritin. Serum ferritin reflects the storage of Iron which is  decreased even in the pre-latent stage of Iron deficiency  Anemia and is the most sensitive marker. 157."
Most sensitive indicator of iron deficiency anemia,Ans. (b) B12 deficiency,(Ref: Robbins 9th/pg 645) 158.
Macrocytic anemia with MCV> 110 fL is seen in,Ans. (c) TIBC,(Ref: Robbins 9th/pg 649) Total Iron Binding Capacity (TIBC) is increased in IDA  while it is decreased in ACD. 159.
Iron deficiency anemia and anemia of chronic disease can be differentiated by the following parameter,Ans. (a) Serum ferritin level,(Ref: Robbins 9th/pg 649) Serum ferritin level is the best marker of Iron store levels. 160.
"In a patient with thalassemia major, who had received multiple blood transfusions, the serum iron overload can be detected by",Ans. (d) Ascorbic acid,(Ref: Robbins 9th/pg 649-652) Iron Absorption  ? Site of iron absorption: duodenum and upper jejunum  (proximal small intestine)Q.  ? Ferrous form (Fe2+) of Iron is absorbedQ.   ? Transport of Fe2+ into enterocyte occurs via DMT1Q. Increased by Decreased by  ? AcidsQ  ? Ascorbic acid (Vitamin  C)Q  ? Amino acid containing  SH-group  ? Meat (these reduce   Fe3+ to Fe2+)  ? Alkalies  ? PhosphatesQ  ? PhytatesQ  ? Tetracycline  ? Presence of other food in  stomach 161.
Iron absorption is increased by,Ans. (b) Leukopenia,(Ref: Robbins 9th/pg 649) 162.
Microcytic anemia is not seen in the following condition,Ans. (a) Increased serum ferritin,(Ref: R 9th/pg 649) 163.
True statement about anemia of chronic disease a. Increased serum ferritin,Ans. (b) 100 Êg/dL,(Ref: Robbins 9th/pg 649) 164.
Average serum ferritin value in males,Ans. (b) IL-6,"(Ref: Wintrobes 13th ed/pg 1223) Cytokines most often implicated in the pathogenesis of  ACD are TNF, IL-1, IL-6, and the interferons. However, IL-6  is the potent inducer of hepcidin, proposed as a major  mediator of the iron abnormalities of ACD. 165."
"Most important inflammatory mediator, involved in anemia of chronic disease",Ans. (d) Absorption of iron is increased by ascorbic  acid,"(Ref: Robbins 9th/pg 649; 8th/pg 659; Wintrobes 12th ed/827) a.  False Parenteral Iron is given in severe iron deficiency  anemia or if patient is unable to tolerate oral iron. b.  False as ferrous sulphate (65mg/325mg) has more Iron  than gluconate (37.5mg/325mg) c.  False as parenteral iron is best d.  True, refer to table above 166."
True about iron deficiency anemia,Ans. (b) Macrocytic anemia,"(Ref: Robbins 9th/pg 645) The peripheral smear here shows hypersegmental  neutrophil and macro-ovalocytes, suggestive of macrocytic  anemia. 167."
This patient came with anemia. This peripheral smear shows.,Ans. (c) Hereditary spherocytosis,(Ref: R 9th/pg 632) 168.
Which of the following is not associated with microcytic hypochromic anemia,Ans. (d) Siderocytes,(Ref: Wintrobes 12th ed/ 848) 169.
"Red cells containing granules of non-heme iron, which gives positive Prussian blue reaction with Perl?s stain as well as stain with Romanowsky dyes",Ans. (b) Oral iron therapy,(Ref: Robbins 9th/pg 649-652) The history provided is suggestive of Iron deficiency  (nutritional) Anemia. Oral Iron therapy is the treatment of  choice. 170.
A 5-year-old child presents with pallor and constipation with Hb-6 gm%. Which is the most appropriate therapy,Ans. (b) Serum ferritin,(Ref: Robbins 9th/pg 649-652) 171.
Most sensitive marker in iron deficiency anemia,Ans. (b) 35%,(Ref: Robbins 9th/pg 649-652) 172.
Normal transferrin saturated with iron is,Ans. (b) Reticulocytosis,"(Ref: Robbins 9th/pg 649-652; 8th/pg 659-662; Wintrobe?s 12th/ pg 829) Response to iron therapy:  ? Rapid subjective improvement, with disappearance  or marked diminution of fatigue, lassitude, and other  Contd...  Complete Review of Pathology 310 Answers with Explanations nonspecific symptoms, before any improvement in  anemia is observed.  ? Earliest hematologic evidence of response to treatment  is an increase in reticulocytes % & Hb content.   ? Maximal reticulocytes % is on 5th to 10thday after  institution of therapy & thereafter returns to normal.   ? Maximum value usually ranges from 5 to 10% and is  inversely related to the level of hemoglobin.   ? Hemoglobin level is the most accurate measure of the  degree of anemia in iron deficiency 173."
Response to iron in iron deficiency anemia is denoted by,Ans. (b) Microcytic hypochromic anemia,(Ref: Robbins 9th/pg 649-652; 8th/pg 659-662) Iron deficiency causes Microcytic hypochromic anemia Differential diagnosis of microcytic hypochromic RBC?sQ:   ? Iron Deficiency Anemia  ? Anemia of Inflammation/chronic disease  ? Thalassemia  ? Sideroblastic Anemia 174.
Iron deficiency causes,Ans. (a) Ringed siderocytes,(Ref: Wintrobe?s 12th/pg 848) Bone marrow in lead poisoning contains Ringed side- rocytes. Hematologic findings in Lead poisoning include:  ? Anisocytosis with microcytic Hypochromic Anemia  ? Basophilic stippling  ? Ringed sideroblasts in bone marrow may be seen 175.
Bone marrow in lead poisoning contains,Ans. (a) Latent iron deficiency is most common  presentation in India,"(Ref: Robbins 9th/pg 649-652; 8th/pg 659-662) a.  False- Manifest (Anemia), not Latent (pre-anemia) iron deficiency is most common presentation in India b.  True- Saturation of transferrin is always reduced to <16%.  At this level of saturation, iron delivery to erythroid  precursors is limited. c.  True-Most sensitive marker in iron deficiency anemia is  Serum ferritin d.  True-The onset of iron deficiency anemia is usually  insidious & progression of symptoms is gradual. As  a result, patients accommodate remarkably well to  advancing anemia & may not present with clinical  features 176."
All of the following statements about iron deficiency anemia are true except,Ans. (b) Thalassemia,(Ref: Robbins 9th/pg 649-652) Leptocytes are flattened red cells in which the volume-to- surface area ratio is decreased. Seen in iron deficiency  anemia and thalassemia in which the red cells with a  low mean cell hemoglobin (MCH) and mean cell volume  (MCV) are unusually resistant to osmotic lysis. 177.
Leptocyte in blood smears seen in,Ans. (a) Reticulocytosis,(Ref: Robbins 9th/pg 649-652) 178.
First sign of improvement in oral iron therapy is,Ans. (a) RBC protoporphyrin,"(Ref: R 9th/pg 649-652) Heme in Hb consists of Iron & Porphyrin.  In Iron deficiency anemia, free erythrocyte protoporphyrin  increases, which is due to excess of protoporphyrin over  iron in heme synthesis. Each RBC contains less hemoglobin,  resulting in microcytosis & hypochromia. Stages in the Development of Iron Deficiency; Refer to  pretexts of this chpater 179."
Parameter increased in IDA,Ans. (c) Anemia of chronic disease,"(Ref: Robbins 9th/pg 649-652; 8th/pg 659-662) This is a case of 35 year, female presenting with microcytic  anemia. (Hb-9gm/dL, MCV- 55 fL). Serum Iron studies reveal:  ? Serum iron-30 ug/dL ? Low  ? Ferritin- 200 ng/mL and TIBC- 298 ug/dl levels are  suggestive of Anemia of chronic disease.  180."
A 35-year-old lady on treatment for rheumatoid arthritis has following lab findings,Ans. (b) Sideroblastic anemia,"(Ref: Wintrobe?s 12th/pg 847-848) This is an Alcoholic patient on Anti TB drugs (isoniazid,  pyrazinamide) who presents with features of iron overload  on iron studies (increased serum iron & increased  transferrin saturation). These features are suggestive of  sideroblastic anemia. 181."
33-years-old alcoholicon ATT presents with increased serum iron and increased transferrin saturation. Diagnosis,Ans. (a) Atransferrinemia,"(Ref: Wintrobe?s 12th/pg 814) This patient with microcytic hypochromic anemia, has  high ferritin level (800 ng/ml) & increased transferrin  percentage saturation (64%). The most possible diagnosis  is Atransferrinemia.   Atransferrinemia   ? It is a rare congenital autosomal recessive condition  with low transferrin level in the body.  ? So whatever transferrin is left, is saturated.  ? It presents with hypochromic microcytic anemia,  decreased serum levels of iron, TIBC, and increased serum  level of ferritin (as iron absorption is markedly increased  but iron transfer to eryrthropoetic tissues are reduced) High transferrin saturation (64% in this case) & high  ferritin level, excludes Iron deficiency Anemia (option B  excluded) In DMT 1 mutation, transferrin saturation is low (hence  option C excluded) High transferrin saturation excludes Anemia of chronic  disease (option D) 182."
"A patient with microcytic hypochromic anemia. Hb- 9 g%, serum iron-20 microg/dl, ferritin level-800 ng/ ml, transferrin percentage saturation is 64%. What is possible diagnosis","Ans. (c) Bone marrow examination This is a 60 yr old female presents with history of 8 blood  transfusions in 2 yrs presenting with severe degree of  hypochromic microcytic anemia. The most probable  diagnosis is Iron deficiency anemia, for which one of the  underlying causes can be chronic blood loss.  The investigations required for assessing the patients  conditions are:  ? Evaluation for pulmonary hemosiderosis: to exclude  bleeding from alveolus;  ? Urinary hemosiderin: to assess iron overload (due to  repeated blood transfusions)  ? G1 endoscopy: to assess GI bleeds which may cause  such severe iron deficiency over a period of time. Chapter 10 ? Red Blood Cells and its Disorders 311 Answers with Explanations Idiopathic pulmonary hemosiderosis:  ? Recurrent alveolar bleeding may eventually produce  pulmonary hemosiderosis and fibrosis.   ? Presents withhemoptysis, dyspnea, alveolar opacities  on chest Xray & anemia.  ? Iron in the shed blood is converted to hemosiderin by  pulmonary macrophages, but it cannot be used for Hb  synthesis.   ? Thus, repeated hemorrhages can lead to iron  deficiency despite a normal total amount of body iron.  Bone marrow examination is not required to investigate for  Iron deficiency anemia, hence the answer 183.",No explanation provided.
